#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
199,Carolina Christian College Centurions,3,100%,110.3,66,0.598,40.3,24.3,64.7,37.6%,42.3%,33.5%,9.1%,6.3%,27.5%
200,Carroll (MT) Saints,31,100%,74.5,77.7,1.042,24.9,28,52.9,53%,58.2%,17%,14.8%,9.7%,48.7%
201,Carroll (WI) Pioneers,25,100%,76.1,71.4,0.938,28.7,25.5,54.2,47.1%,53%,16.9%,14.2%,9.7%,43.6%
202,Carson-Newman University Eagles,31,100%,85,87.3,1.026,30.1,31.3,61.4,50.9%,58.8%,16.3%,14.5%,10.2%,46.7%
203,Carthage Red Men,25,100%,80.4,74.5,0.926,32.5,26.2,58.7,44.6%,51.1%,15.6%,14.5%,10.9%,42.6%
204,Carver College Cougars,16,100%,85.9,66.9,0.779,37,25.1,62.1,40.4%,45.7%,20.5%,8.8%,7.1%,35.5%
205,Case Western Reserve Spartans,25,100%,86.3,74.5,0.864,36.9,26.3,63.2,41.6%,49.1%,16.8%,11.8%,7.2%,38.6%
206,Castleton,4,100%,99,80.8,0.816,42.5,29.8,72.3,41.2%,48.1%,18.2%,10.4%,6.6%,37.1%
207,Catawba College Indians,26,100%,90.8,76.4,0.842,37.3,28,65.3,42.8%,47.7%,16.5%,14.1%,10.1%,40.5%
208,Catholic University Cardinals,25,100%,80.8,76.6,0.948,30.9,26.9,57.8,46.5%,52.5%,15.3%,15.8%,11.4%,44.7%
209,Cazenovia,12,100%,86.2,66.8,0.776,33.3,22.5,55.8,40.3%,46.3%,22.1%,15%,10.4%,36.9%
210,Cedarville Yellow Jackets,27,100%,81.4,76.3,0.936,34.6,27,61.6,43.9%,51.5%,14.4%,12.2%,7.6%,41.7%
211,Centenary Gentlemen,25,100%,83,74.4,0.896,34.4,26.2,60.5,43.2%,49.6%,16.2%,13.8%,10.2%,40.8%
212,Centenary University Cyclones,24,100%,79,63.4,0.803,34.7,23,57.6,39.8%,45.4%,17%,11.9%,8.3%,37.2%
213,Central (IA),28,100%,86,81.9,0.953,34.8,28.5,63.3,45%,53.1%,15.4%,13.1%,8.4%,42.8%
214,Central Arkansas Bears,35,100%,85.5,80.1,0.936,34,28,62,45.1%,51.7%,15.4%,14%,9%,43.2%
215,Central Baptist College Mustangs,33,100%,85.3,74.7,0.876,33.8,26.5,60.2,43.9%,49.1%,16.7%,15.6%,10.8%,41.9%
216,Central Christian (KS) Tigers,32,100%,87.2,73.7,0.845,36.5,25.3,61.8,40.9%,46.5%,16.7%,14.6%,9.8%,39.8%
217,Central Christian (MO) Saints,7,100%,83.7,62.3,0.744,39.7,22.6,62.3,36.2%,44.5%,20%,6.1%,4.4%,31.6%
218,Central Connecticut State Blue Devils,32,100%,77.3,67.5,0.873,30.1,24.6,54.7,44.9%,50.5%,18.5%,12.6%,8.5%,41%
219,Central Methodist University Eagles,34,100%,81.7,77.9,0.954,31.9,28,59.9,46.8%,52.6%,15.2%,14%,10.5%,44.4%
220,Central Michigan Chippewas,36,100%,80.9,78.3,0.967,34.6,26.3,60.9,43.2%,51.3%,13.8%,13.1%,9.3%,42.6%
221,Central Missouri Mules,30,100%,69,70.9,1.028,26.4,24.4,50.7,48%,56.2%,14.4%,14.4%,9.5%,46.2%
222,Central Oklahoma Bronchos,30,100%,76.9,72.6,0.944,30.2,25.5,55.8,45.8%,52%,15.2%,14.5%,8.7%,43.7%
223,Central Pennsylvania College Knights,9,100%,95.4,61,0.639,42.9,20.6,63.4,32.4%,35.4%,20.3%,15.4%,10.6%,32.4%
224,Central State Marauders,29,100%,84.7,69.9,0.825,36.6,24.4,61,40%,44.5%,16%,14.7%,11%,39.5%
225,Central Washington Wildcats,28,100%,85.6,78,0.911,35.1,28.4,63.5,44.7%,50.6%,15.1%,12.7%,8.4%,42.4%
226,Centre (KY) Praying Colonels,26,100%,80.6,78.7,0.977,32.9,28.3,61.3,46.3%,53.4%,13.9%,12.3%,9.1%,44.1%
227,Chadron State Eagles,28,100%,79.1,64.7,0.818,33.4,23.6,56.9,41.4%,45.9%,17.7%,12.3%,8.9%,38.8%
228,Chaminade Swords,28,100%,82,75.3,0.918,34.5,27.6,62.1,44.4%,50.9%,13.9%,12.8%,9.1%,42.2%
229,Champion Baptist College Tigers,1,100%,93,80,0.86,38,30,68,44.1%,47.1%,15.1%,12.9%,11.8%,41.9%
230,Chapman University Panthers,26,100%,75.5,72.1,0.955,29.6,25.5,55.1,46.2%,53.7%,15.8%,13.6%,9.8%,43.5%
231,Charleston (WV) Golden Eagles,31,100%,81.6,77.9,0.955,31.7,27.3,59,46.3%,52.3%,14.8%,16.2%,12.2%,44.9%
232,Charleston Cougars,34,100%,74.7,74.3,0.994,30.5,25.8,56.3,45.8%,52.6%,12.8%,15.2%,10.6%,45.1%
233,Charleston Southern Buccaneers,31,100%,79.3,71.7,0.904,32.4,25.8,58.2,44.3%,50.1%,16%,13.1%,9.7%,41.9%
234,Charlotte 49ers,29,100%,80.8,70.5,0.873,32.4,24.2,56.6,42.8%,48.8%,17.7%,14.3%,10.8%,40.5%
235,Chatham University Cougars,25,100%,77.1,63.8,0.828,34.5,22.6,57.1,39.6%,46.5%,16.6%,10.9%,7.5%,37.2%
236,Chattanooga Mocs,33,100%,77.9,69.2,0.888,31.5,23.8,55.3,43%,50.6%,17.5%,13.2%,8.4%,40.5%
237,Chestnut Hill Griffins,26,100%,80.3,70.9,0.883,33.3,25.5,58.8,43.3%,49.3%,17.4%,11.6%,8.1%,40.1%
238,Cheyney University Wolves,25,100%,90.6,57.3,0.632,40.6,21.4,62,34.5%,37.4%,22.5%,10.7%,8.3%,30.6%
239,Chicago Maroons,25,100%,82.4,73.5,0.892,35.4,25.4,60.8,41.8%,49.8%,15.3%,12.9%,9.2%,39.5%
240,Chicago State Cougars,32,100%,82.1,65.8,0.801,34.6,23.5,58.1,40.4%,44.8%,17.8%,13.1%,8.9%,38.1%
241,Chico State Wildcats,27,100%,77.3,70.6,0.913,31,24.1,55.1,43.8%,51.1%,16.2%,14.8%,9.5%,42%
242,Chowan Hawks,24,100%,81.3,71.7,0.882,31.1,24.6,55.7,44.2%,50.4%,19%,14.7%,10.1%,41.4%
243,Christendom Crusaders,4,100%,84.8,51.8,0.611,37.3,20,57.3,34.9%,39.5%,26.3%,8%,5%,28%
244,Christian Brothers University Buccaneers,30,100%,73.5,74.7,1.016,29.9,26.6,56.5,47.1%,56.2%,13.8%,12%,7.9%,44.1%
245,Christopher Newport Captains,29,100%,81.6,72,0.883,32.1,25.8,57.8,44.5%,51.9%,18.7%,12.4%,8.2%,40.1%
246,Cincinnati Bearcats,36,100%,79.1,73.9,0.935,32.4,26.2,58.6,44.7%,50.9%,13.7%,14.5%,10.4%,43.3%
247,Cincinnati Christian Eagles,10,100%,88.6,83.4,0.941,36.2,29.6,65.8,45%,51.4%,14.7%,13.5%,9.3%,43.2%
248,Cincinnati Clermont,3,100%,92.3,80,0.866,38,28.3,66.3,42.7%,54%,23.5%,5.4%,5.4%,35.4%
249,Citadel Bulldogs,32,100%,91.7,81.9,0.894,39.8,27.7,67.4,41%,49.9%,16.1%,12.3%,8.7%,39.1%
250,City College of New York (CCNY) Beavers,20,100%,82.8,60.8,0.734,38.7,21.9,60.6,36.2%,42.7%,19.2%,8.9%,6%,32.6%
251,Claflin Panthers,31,100%,80.1,71.1,0.888,30.5,25.5,56,45.5%,50.2%,17.1%,15.4%,10.7%,42.6%
252,Claremont-Mudd-Scripps Stags,25,100%,76.8,70.9,0.923,30.2,26.5,56.7,46.8%,52.8%,16.7%,11%,6.9%,42.4%
253,Clarion Golden Eagles,28,100%,84.9,70.9,0.835,36,26.4,62.3,42.3%,47.2%,17.2%,11.1%,8.5%,39.6%
254,Clark Atlanta Panthers,20,100%,82.6,76.9,0.932,34.6,26.6,61.2,43.4%,50.3%,13.7%,14.8%,10.8%,42.8%
255,Clark MA Cougars,23,100%,85.2,74.7,0.877,36.1,27.7,63.9,43.4%,50.1%,16.5%,10.1%,7.3%,40%
256,Clarke University Pride,31,100%,88.3,82.3,0.932,36.3,30,66.4,45.3%,52.4%,16.1%,10.7%,7.1%,41.8%
257,Clarks Summit University Defenders,26,100%,77.9,58.1,0.746,32.1,21.3,53.4,39.8%,45.2%,22.9%,10.4%,7.7%,34.6%
258,Clarkson University Golden Knights,25,100%,80.1,74.1,0.925,33.8,26,59.8,43.4%,52.4%,15.6%,10.9%,6.9%,40.7%
259,Clayton State Lakers,30,100%,85.7,78.7,0.918,34.6,27.8,62.4,44.6%,49.8%,14.7%,14.8%,10.3%,43.1%
260,Clemson Tigers,35,100%,75.9,72.9,0.96,30.5,25.5,56,45.5%,52.8%,15.2%,13.2%,9.1%,43.2%
261,Cleveland State Vikings,35,100%,76.7,68.3,0.891,32,24.3,56.3,43.1%,50.6%,16.6%,11.4%,7.7%,40.2%
262,Coast Guard Academy Bears,23,100%,86.3,76.3,0.885,35.6,28.7,64.2,44.6%,49.6%,15.2%,12.1%,8.4%,41.8%
263,Coastal Carolina Chanticleers,32,100%,81.4,71.5,0.878,32.5,24.6,57.1,43%,49%,17.7%,14.7%,10.5%,40.8%
264,Coastal Georgia Mariners,30,100%,90.5,77.2,0.854,37.4,26.6,64,41.5%,48.1%,17.2%,13.7%,8.9%,39.4%
265,Coe College Kohawks,26,100%,76.8,72.5,0.945,27.2,26,53.2,48.9%,55.5%,18.7%,14.4%,9.2%,43.9%
266,Coker Cobras,29,100%,94.6,81,0.856,38.9,28.9,67.8,42.6%,48.2%,16.9%,13.8%,10.5%,39.8%
267,Colby Mules,24,100%,90.4,77.2,0.854,37.6,28.1,65.7,42.8%,49.9%,17.6%,11.4%,8%,38.8%
268,Colby-Sawyer Chargers,3,100%,92,60.3,0.656,45.3,22.7,68,33.3%,38.2%,19.2%,9.1%,6.2%,29.7%
269,Colgate Raiders,33,100%,75.6,72.2,0.955,32.6,25,57.6,43.4%,51.5%,13.8%,11.9%,7.5%,42.2%
270,College of Idaho Yotes,35,100%,81.2,77.1,0.949,34.3,28.8,63.1,45.7%,53.1%,13.9%,10%,7.1%,42.5%
271,College of New Jersey Lions,27,100%,82.3,78.7,0.956,32.8,26.3,59.1,44.5%,53.6%,16.2%,14.3%,8.9%,42.3%
272,College of St Joseph (VT) Fighting Saints,4,100%,93.8,68.3,0.728,42.3,23.8,66,36%,42%,19.7%,12.3%,10.1%,33.9%
273,College of The Bahamas,4,100%,94.5,75.8,0.802,41.3,29.8,71,41.9%,46%,16.4%,11.4%,9%,38.1%
274,College of the Ozarks Bobcats,31,100%,80.3,79.5,0.99,31.1,28.5,59.5,47.8%,55.9%,15.6%,12.3%,8.2%,44.8%
275,Colorado Buffaloes,32,100%,79.5,71.3,0.897,32.5,25.2,57.6,43.7%,50.1%,16.6%,13.1%,8.5%,41.1%
276,Colorado Christian Cougars,28,100%,80.8,72.8,0.901,33.2,26.6,59.8,44.5%,51.5%,17.9%,9.8%,6.7%,40.3%
277,Colorado Mesa Mavericks,29,100%,81.9,77.6,0.948,32.1,27.7,59.8,46.3%,52.2%,15.7%,13.7%,8.9%,44.1%
278,Colorado Mines Orediggers,31,100%,75.7,77.1,1.017,29.8,27.3,57.1,47.8%,54.7%,12.7%,14.4%,9.2%,46.5%
279,Colorado State Rams,32,100%,82.9,71.7,0.865,35.7,25.3,61,41.4%,47.2%,15.4%,13.6%,8.8%,39.7%
280,Colorado State-(Pueblo) ThunderWolves,27,100%,79.1,77.9,0.985,32.6,27.5,60.1,45.8%,54.5%,14.6%,11.7%,8.8%,43.3%
281,Colorado Tigers,26,100%,79,70.2,0.889,29.7,24.4,54.2,45.1%,50.8%,19.2%,14.6%,9.5%,41.7%
282,Colorado-(ColoradoSprings) Mountain Lions,29,100%,84.7,80.3,0.948,31.6,28,59.7,47%,53.6%,16.6%,14.7%,9.4%,44.2%
283,Columbia (MO) Cougars,32,100%,79,81.2,1.028,29.9,28.2,58.1,48.5%,56.2%,12.6%,16.1%,11.4%,47.2%
284,Columbia International Rams,26,100%,87.3,71.2,0.815,35.5,25.3,60.8,41.6%,46.8%,19.6%,13.3%,9.6%,38.4%
285,Columbia Lions,26,100%,80.5,75.5,0.938,34.1,27.3,61.4,44.5%,52.5%,15.4%,10.1%,8%,41.3%
286,Columbus State Cougars,26,100%,83.6,74.8,0.896,35.5,27.1,62.5,43.3%,49.3%,14.6%,13.3%,10.4%,41%
287,Concord Mountain Lions,32,100%,86.5,77.8,0.9,37.5,27.4,64.9,42.3%,49.2%,14.4%,12.1%,7.6%,40.9%
288,Concordia (AL) Hornets,3,100%,96.3,71,0.737,44.3,27.3,71.7,38.1%,41.2%,16.6%,11.4%,8%,34.9%
289,Concordia (Chicago) Cougars,25,100%,93.1,78.3,0.841,40.2,29.1,69.3,42%,47.1%,17%,10.8%,8.6%,38.7%
290,Concordia (Irvine) Eagles,31,100%,80.9,75.5,0.933,32.5,28.8,61.3,47%,52.5%,14.9%,11.4%,8.3%,43.4%
291,Concordia (MI) Cardinals,24,100%,78.8,67.7,0.858,32.4,24.6,57,43.2%,48.6%,16.5%,13.8%,10.9%,40.1%
292,Concordia (Moorhead) Cobbers,24,100%,75.3,66.6,0.885,27.7,24.3,52,46.8%,53.6%,20.7%,12.6%,8.9%,40.7%
293,Concordia (NE) Bulldogs,31,100%,81.2,78.4,0.965,31.5,27.8,59.3,46.9%,55.1%,17.2%,12.3%,8.1%,42.7%
294,Concordia (NY) Clippers,28,100%,87.6,76.5,0.873,36.8,27.8,64.5,43.1%,49.1%,15.9%,12.6%,9.4%,40.6%
295,Concordia (OR) Cavaliers,27,100%,79.7,69.7,0.875,34,26.3,60.2,43.6%,48.8%,14.8%,11.8%,8.2%,40.7%
296,Concordia (QUE) Stingers,32,100%,92.8,76.1,0.82,39.3,27.5,66.8,41.2%,46.5%,18%,11.8%,8.6%,38.6%
297,Concordia (St. Paul) Golden Bears,31,100%,78.3,67,0.856,31.7,25.4,57.1,44.4%,49.4%,18%,11.4%,9.2%,40%
298,Concordia (TX) Tornadoes,27,100%,97.9,90.9,0.928,37.2,31.6,68.8,45.9%,52.9%,18.3%,14.4%,9.4%,42.3%
299,Concordia (WI) Falcons,27,100%,84.8,79,0.932,32.7,29,61.7,47.1%,53%,17.8%,11.4%,8.6%,42.7%
300,Concordia of Edmonton Thunder,3,100%,86,66.3,0.771,34,23.7,57.7,41%,46.5%,21.7%,12.8%,10.5%,36.4%
301,Connecticut College Camels,23,100%,83,67.3,0.811,33.6,24.3,58,42%,47.6%,20.4%,11.6%,8%,37.6%
302,Connecticut Huskies,32,100%,78.4,67.4,0.859,33.6,23.7,57.3,41.3%,47.1%,15.7%,12.6%,8.9%,39.8%
303,Coppin State Eagles,31,100%,77.9,60.3,0.774,36.7,20.4,57.2,35.7%,43%,17.7%,10.6%,8%,34.2%
304,Corban University Warriors,32,100%,86.5,82,0.949,35.8,30.9,66.8,46.3%,52.3%,12.9%,11.6%,8.1%,44.1%
305,Cornell Big Red,28,100%,79.9,75.5,0.945,31.2,26.4,57.6,45.8%,52.5%,16.3%,14.3%,9.6%,42.7%
306,Cornell College Rams,14,100%,80.7,66.1,0.819,32.1,23.5,55.6,42.2%,47.4%,18.5%,14.9%,9.6%,39.3%
307,Cornerstone University Golden Eagles,27,100%,81.5,80.9,0.993,31.3,28.6,59.9,47.8%,55.3%,14.8%,14.5%,9.8%,44.9%
308,Covenant College Scots,28,100%,90.5,84.3,0.932,34.9,31,65.9,47.1%,55.6%,18.5%,10.7%,7.1%,41.3%
309,Creighton Bluejays,33,100%,80,82.7,1.033,31.5,30.3,61.8,49%,57.3%,13.7%,11%,7.9%,45.9%
310,Crowleys Ridge College Pioneers,16,100%,100.1,70.3,0.703,40.1,24.4,64.5,37.8%,42.1%,23.7%,13.7%,10.1%,34%
311,Crown College (MN),27,100%,86.2,82.3,0.955,34.5,30.1,64.6,46.6%,54.1%,15.3%,11.9%,9%,43%
312,Culver-Stockton Wildcats,33,100%,89.5,80.4,0.898,35.2,28.4,63.5,44.6%,52.3%,17.5%,13.8%,9.6%,40.9%
313,Cumberland (TN) Phoenix,28,100%,81.5,70,0.86,33.5,26,59.5,43.7%,49%,17.4%,11.5%,8.7%,39.9%
314,Cumberlands (KY) Patriots,26,100%,81.6,78.8,0.965,33.3,28,61.3,45.7%,52.8%,14.1%,12.7%,9%,44%
315,Curry,24,100%,88,64.1,0.729,37.1,23.7,60.8,39%,45.3%,23%,9.5%,6.4%,33.1%
316,Daemen College Wildcats,30,100%,81.3,75.5,0.929,31.2,27.9,59.1,47.2%,53.7%,18.1%,12%,7.3%,42.1%
317,Dakota State Trojans,30,100%,78.4,74,0.945,32.6,27.6,60.2,45.8%,53.3%,15.6%,9.4%,6.6%,41.8%
318,Dakota Wesleyan Tigers,33,100%,79.5,82.3,1.035,30.2,29.8,59.9,49.7%,57.5%,14.2%,12.8%,8.6%,46.5%
319,Dalhousie Tigers,30,100%,89.5,83.3,0.931,36.8,30.8,67.7,45.6%,51.7%,15.4%,11.7%,8.6%,42.9%
320,Dallas Baptist Patriots,32,100%,82.9,81.3,0.981,30.4,29.1,59.5,48.9%,56.1%,17.4%,12.9%,8%,44.9%
321,Dallas Christian Crusaders,10,100%,90.9,70.4,0.774,43.9,24.7,68.6,36%,44.6%,17.7%,7.8%,5.9%,32.8%
322,Dalton State,28,100%,86.9,80.3,0.924,36.3,28.2,64.5,43.7%,49.8%,13%,14.8%,9.9%,42.9%
323,Dartmouth Big Green,27,100%,74.6,67.5,0.905,29.7,23.9,53.6,44.6%,51.4%,17.2%,13%,9.2%,41.6%
324,Davenport Panthers,28,100%,80.7,75.6,0.937,31.5,26.6,58.2,45.8%,52.9%,16.7%,13.6%,9.6%,42.6%
325,Davidson Wildcats,33,100%,72.5,76,1.049,30.1,27.2,57.3,47.5%,56.9%,12.4%,10.8%,7.3%,45.3%
326,Davis & Elkins Senators,26,100%,86.7,72,0.83,37.5,25.9,63.4,40.8%,46.2%,15.9%,13.5%,9.9%,39%
327,Dayton Flyers,31,100%,74.6,71.4,0.956,28.4,25.7,54.1,47.5%,54.7%,17.5%,12.9%,8.9%,43%
328,Dean College Bulldogs,8,100%,87,73.6,0.846,38.3,25.8,64,40.2%,45.4%,15.2%,13.5%,8.2%,39.2%
329,Defiance Yellow Jackets,26,100%,85.1,69.4,0.816,36.6,25.9,62.5,41.4%,46.9%,17.9%,10.6%,8.1%,37.8%
330,Delaware Fightin Blue Hens,33,100%,75.6,69.3,0.917,30.6,25.6,56.2,45.5%,50.5%,13.7%,14.7%,10.5%,43.4%
331,Delaware State Hornets,31,100%,77.6,62.8,0.809,32.7,23.1,55.8,41.3%,46.7%,19%,11%,8.5%,37.5%
332,Delaware Valley,25,100%,84.2,66.2,0.787,34.2,23.4,57.6,40.7%,45.9%,20.8%,13%,9%,37.1%
333,Delta State Statesmen,31,100%,72.7,61.8,0.85,30.7,23.3,53.9,43.1%,47.4%,15.4%,12.2%,8.5%,40.6%
334,Denison (OH) Big Red,27,100%,80.1,73.7,0.92,33.7,26.6,60.3,44%,52.6%,16%,10.8%,7.7%,40.3%
335,Denver Pioneers,30,100%,79.3,72.7,0.916,29.9,26.7,56.6,47.2%,53.4%,18.2%,12.6%,8.1%,42.5%
336,DePaul Blue Demons,31,100%,83.6,71.4,0.853,35.9,26.4,62.2,42.4%,47.4%,16.1%,11.4%,8.2%,40%
337,DePauw University Tigers,26,100%,75,70.5,0.941,30.6,25.6,56.2,45.5%,52.8%,14.8%,12.5%,8.1%,42.3%
338,DeSales,27,100%,82.1,74.1,0.903,29.2,26.4,55.7,47.5%,52.4%,19.1%,16.1%,11.1%,43.1%
339,Detroit Titans,32,100%,85.7,78.1,0.911,36.2,27.5,63.7,43.1%,50%,15.4%,12.4%,9%,41%
340,Dickinson (PA) Red Devils,26,100%,75.9,68.2,0.898,30.4,24.8,55.2,44.9%,51.5%,17%,11.9%,8.6%,41%
341,Dickinson State Blue Hawks,27,100%,83.6,80.7,0.965,32.7,30.2,62.9,48%,54.2%,15.1%,12.4%,8.9%,44%
342,Dillard Bleu Devils,13,100%,88,78,0.886,33.4,27.3,60.7,45%,50%,16.7%,16.5%,10.1%,43.1%
343,District of Columbia Firebirds,27,100%,90,74.1,0.823,35.7,27.1,62.9,43.2%,47.3%,18.7%,13.7%,10%,39.5%
344,Dixie State University Trailblazers,30,100%,82.8,75.8,0.915,31.5,26.5,58,45.7%,50.1%,15.1%,17.4%,11.4%,44.9%
345,Doane Tigers,34,100%,81.2,73.7,0.908,31.4,25.9,57.3,45.1%,52.5%,17.9%,13.5%,8.7%,41.5%
346,Dominican (CA) Penguins,26,100%,78.1,64.1,0.82,34,23.9,57.9,41.3%,46.5%,16.5%,10.8%,8.2%,38.5%
347,Dominican (IL) Stars,25,100%,80.7,65.8,0.816,36.3,24.2,60.4,40%,45.5%,16%,11%,7.9%,37.4%
348,Dominican (NY) Chargers,31,100%,82.3,70.8,0.86,35.4,25.3,60.7,41.7%,46.4%,14.7%,13.9%,10%,40.6%
349,Dordt College Defenders,31,100%,88.8,84,0.946,35.5,30.2,65.6,46%,53.4%,15.7%,12.3%,7.7%,42.8%
350,Douglas College Royals,2,100%,91.5,77,0.842,38,26,64,40.6%,46.9%,19.1%,12.6%,10.9%,38.3%
351,Drake Bulldogs,34,100%,77.6,73.3,0.945,32.6,25.3,57.9,43.7%,51%,14.6%,13.2%,9.6%,42.5%
352,Drew Rangers,26,100%,85.3,80.8,0.948,31.8,28.4,60.2,47.2%,54.4%,17.5%,14%,9.2%,43.8%
353,Drexel Dragons,33,100%,81.3,73.5,0.905,33.8,26.5,60.3,43.9%,49.5%,14.8%,12.9%,9%,42.2%
354,Drury Panthers,28,100%,80.9,82.8,1.024,31.8,30.5,62.3,49%,58.1%,14.2%,10.7%,7.3%,45.4%
355,Dubuque,26,100%,84.5,77.7,0.919,36.6,27,63.6,42.4%,50.5%,14.1%,12.6%,8.2%,41%
356,Duke Blue Devils,37,100%,83.5,83.9,1.005,31.5,30.3,61.8,49%,55.7%,14.3%,14.2%,10.4%,46%
357,Duquesne Dukes,32,100%,79.2,71.5,0.902,33.7,24.8,58.4,42.4%,49.3%,14.4%,13.8%,10.1%,41.4%
358,D'Youville,23,100%,93.5,75.3,0.806,38.9,28.2,67,42%,47%,19.2%,11.5%,8.6%,37.8%
359,Earlham College Quakers,25,100%,81.1,72.4,0.893,32.1,26.4,58.6,45.2%,50.2%,17.3%,12.8%,9.4%,41.7%
360,East Carolina Pirates,30,100%,78.5,66,0.84,32.9,24.7,57.5,42.9%,48.1%,17.6%,11.3%,8.1%,38.9%
361,East Central Tigers,28,100%,83.3,81.9,0.983,31.4,29.1,60.5,48.1%,56.8%,16%,13.5%,10.1%,44.3%
362,East Mennonite Royals,27,100%,86.9,76.9,0.885,34.6,27.9,62.4,44.7%,51.3%,17.5%,13.1%,9.4%,40.8%
363,East Stroudsburg Warriors,34,100%,92.6,91.4,0.988,34.9,32.5,67.4,48.2%,54.6%,15.2%,14.8%,9.9%,45.7%
364,East Tennessee State Buccaneers,34,100%,79.3,74.7,0.943,30.5,27.1,57.6,47%,53.2%,16.1%,13.3%,9.8%,44%
365,East Texas Baptist Tigers,29,100%,93.4,88.3,0.945,37.5,31.7,69.2,45.8%,53.3%,15.2%,12.7%,8.6%,43%
366,Eastern Connecticut State University Warriors,18,100%,82.6,79.9,0.967,33.5,28.6,62.1,46%,53%,13.4%,14%,9%,44.2%
367,Eastern Eagles,26,100%,84.7,76.9,0.908,33,28.1,61.1,46%,53.4%,18.3%,11%,7.6%,40.8%
368,Eastern Illinois Panthers,31,100%,77,66.4,0.861,32.4,23.5,55.9,42.1%,48.6%,16.6%,12.6%,8.7%,39.7%
369,Eastern Kentucky Colonels,31,100%,78.9,71.2,0.902,32.5,25,57.5,43.4%,49.7%,15.9%,13.4%,9%,41.9%
370,Eastern Michigan Eagles,35,100%,78.1,70.6,0.905,31.5,26.4,57.9,45.6%,51.3%,15.7%,11.9%,7.8%,42.3%
371,Eastern Nazarene College Lions,24,100%,83.9,73.8,0.879,31,25.9,56.9,45.5%,53.5%,22.2%,11.2%,6.9%,39.7%
372,Eastern New Mexico Greyhounds,30,100%,86,73.3,0.852,36.7,25.6,62.2,41.1%,46.4%,15.8%,14%,9.7%,40%
373,Eastern Oregon Mountaineers,29,100%,84.6,79.7,0.942,36.3,30,66.4,45.2%,52.1%,14%,9.1%,5.6%,42.1%
374,Eastern Washington Eagles,35,100%,76.5,74.2,0.97,31.1,26.6,57.7,46.1%,53.7%,14.7%,11.6%,7.1%,43.5%
375,East-West Phantoms,17,100%,92.7,68.2,0.735,40.4,23.7,64.1,37%,41.6%,18.9%,14.1%,10%,34.9%
376,Ecclesia Royals,20,100%,81.9,56.2,0.687,33.7,18.8,52.4,35.8%,42.4%,25.1%,12%,7.6%,31.5%
377,Eckerd College Tritons,33,100%,84.8,82.3,0.971,32.6,29.3,61.9,47.3%,53.4%,15.4%,14%,10.3%,44.8%
378,Edgewood College (WI) Eagles,28,100%,78.9,68,0.862,33,25,58,43.1%,47.5%,15.8%,13%,8.4%,40.8%
379,Edinboro Fighting Scots,28,100%,82.5,79.2,0.96,35.8,27.8,63.6,43.7%,51%,13%,12.6%,9.6%,42.6%
380,Edward Waters Tigers,29,100%,80.5,64.4,0.801,33.8,24.2,58,41.8%,45.8%,18.6%,11.3%,8.8%,38.2%
381,Elizabeth City State University Vikings,19,100%,77.8,68,0.874,33.6,23.6,57.2,41.2%,47.4%,14.4%,14.3%,11%,40.5%
382,Elizabethtown College,23,100%,80.1,72,0.899,32.4,27,59.3,45.4%,51.9%,16.4%,11.8%,7.8%,41.2%
383,Elmhurst College Blue Jays,25,100%,82.4,75.2,0.913,33,27.2,60.2,45.1%,51.4%,16.9%,12.3%,8.6%,41.8%
384,Elmira,24,100%,90.6,80.3,0.886,40.5,29.3,69.7,42%,48.6%,13.9%,11.4%,8%,40%
385,Elms,4,100%,90.5,57.3,0.633,43.3,20,63.3,31.6%,36.8%,21.8%,9.1%,6.9%,29.8%
386,Elon Phoenix,32,100%,77.4,72.8,0.94,33.8,26.2,60,43.6%,52.4%,14.2%,10%,6.9%,40.8%
387,Embry-Riddle Eagles (AZ),27,100%,80.7,70.4,0.872,32.4,25.3,57.7,43.9%,50.5%,18%,12%,6.8%,40.1%
388,Embry-Riddle Eagles (FL),28,100%,86.2,82.4,0.956,35.1,29.7,64.8,45.9%,52.7%,15.2%,11.6%,8.5%,43.4%
389,Emerson College Lions,26,100%,79.9,70.6,0.883,33.7,25.5,59.2,43%,50.1%,17.2%,11.2%,7.3%,39.2%
390,Emmanuel (MA) Saints,22,100%,82.5,68.2,0.827,34.6,25.7,60.3,42.7%,47.3%,18.1%,11%,8.6%,38.6%
391,Emmanuel College Lions,30,100%,86.9,82.3,0.947,32.7,28.5,61.2,46.6%,53.9%,17.2%,15%,10.4%,43.5%
392,Emmaus Eagles,4,100%,87.8,59.5,0.678,40.5,23,63.5,36.2%,43.5%,23.1%,4.8%,3.4%,29.3%
393,Emory & Henry Wasps,29,100%,84,80,0.952,33,29,62,46.8%,52.6%,15%,13.4%,9.3%,44.3%
394,Emory University Eagles,29,100%,84,80.9,0.962,34.2,29.5,63.7,46.3%,53.7%,15.3%,10.7%,7.7%,43.1%
395,Emporia State Hornets,30,100%,78.4,68.1,0.868,33.5,23.8,57.3,41.6%,47.8%,16%,13%,9.7%,39.7%
396,Endicott College Gulls,28,100%,84.5,81.9,0.969,36,28.5,64.6,44.2%,53.8%,14.2%,11.2%,7.3%,41.9%
397,Erskine Flying Fleet,27,100%,75.8,64.8,0.855,31.3,24.3,55.6,43.7%,50.2%,17.9%,10.5%,7.2%,39%
