#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1305,Tufts Jumbos,24,100%,89.3,77.1,0.863,39.3,28.6,67.9,42.2%,48.1%,15.1%,11.6%,9.2%,39.6%
1306,Tulane Green Wave,31,100%,79.4,72.7,0.917,31.9,25.8,57.7,44.7%,51.2%,15.9%,13.7%,9.8%,42.3%
1307,Tulsa Golden Hurricane,31,100%,79.4,73,0.92,31.6,24.3,55.9,43.5%,50.6%,15.9%,15.4%,10.1%,42.9%
1308,Turtle Mountain Community College,2,100%,100,89,0.89,45,29,74,39.2%,47.6%,15%,13%,7.5%,39.5%
1309,Tusculum Pioneers,28,100%,86.3,79.5,0.921,36.8,27.6,64.4,42.8%,51.7%,16.3%,11.3%,9%,39.9%
1310,Tuskegee Golden Tigers,27,100%,74.6,63.7,0.854,32,21.5,53.4,40.2%,47.2%,17.1%,14.3%,11%,38.6%
1311,UAB Blazers,33,100%,78.8,76,0.965,30,28.5,58.4,48.7%,54.4%,16.3%,12%,9.3%,44.7%
1312,UC Davis Aggies,33,100%,77.2,71.5,0.927,29.5,25.2,54.7,46%,51.9%,16.4%,14.5%,9.2%,43.9%
1313,UC Irvine Anteaters,35,100%,80.4,69.2,0.861,33.5,25.6,59.1,43.3%,48.6%,16.7%,11.6%,7.1%,40.1%
1314,UC Merced Golden Bobcats,27,100%,77.6,63.6,0.82,32.2,23.4,55.6,42.1%,47.7%,19.4%,10.8%,8.2%,37.9%
1315,UC Riverside Highlanders,31,100%,80,64.9,0.811,34.7,23,57.7,39.9%,45.1%,17%,12.9%,7.4%,37.6%
1316,UC San Diego Tritons,30,100%,72.5,69.6,0.96,29.5,23.8,53.3,44.7%,53.3%,15.4%,12.9%,7.6%,42.6%
1317,UC Santa Barbara Gauchos,32,100%,77.3,74.7,0.966,31.7,27.1,58.7,46.1%,52.8%,13.2%,13.1%,8.9%,44.5%
