#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1366,Bowie State Bulldogs,28,100%,83.9,71.9,0.858,31.9,24.7,56.6,43.7%,48.5%,18.2%,16.7%,11.3%,41.7%
1367,Bowdoin Polar Bears,24,100%,80.9,71,0.877,37,26,63.1,41.3%,48.6%,13.4%,10.3%,7.1%,39.2%
1368,Boston University Terriers,31,100%,78.1,71.4,0.914,31.4,25.5,56.8,44.8%,51.9%,17.2%,12.4%,8.7%,41.4%
1369,Boston College Eagles,35,100%,79.4,74,0.932,33.5,26.7,60.3,44.4%,51.7%,14.9%,11.2%,7.7%,41.8%
1370,Boise State Broncos,32,100%,77.6,68.4,0.882,33.4,24.7,58,42.5%,48.4%,14.9%,12%,7.4%,40.6%
1371,Bob Jones University Bruins,28,100%,86.1,77.7,0.902,37.3,28.1,65.3,43%,49.9%,14.6%,12.1%,9.6%,40.9%
1372,Bluffton,26,100%,74.7,71.6,0.959,27.7,26,53.6,48.4%,54.2%,17.2%,14.1%,9.6%,44.5%
1373,Bluefield State College Big Blues,13,100%,90.2,80.2,0.889,36.6,28.3,64.9,43.6%,50.2%,16.9%,12.6%,8.2%,40.9%
1374,Bluefield College,30,100%,86.9,79.2,0.911,33.3,27,60.3,44.8%,51.3%,17.1%,16.1%,11.4%,42.8%
1375,Blue Mountain College Toppers,28,100%,89.5,80.5,0.9,35.3,30.1,65.4,46.1%,51.8%,17.1%,11.8%,8.5%,42.1%
1376,Bloomsburg University Huskies,27,100%,86.6,78.4,0.905,36.1,29,65.1,44.6%,50.4%,15.5%,11.6%,8.6%,41.5%
1377,Bloomfield College Bears,32,100%,87.3,75.4,0.864,36.3,28.3,64.6,43.7%,50.3%,17.7%,10%,6.8%,39%
1378,Blackburn Beavers,28,100%,91,80.1,0.881,35.8,27.7,63.5,43.6%,49.9%,18.4%,13.5%,8.3%,41%
1379,Black Hills State Yellow Jackets,28,100%,74.4,70.2,0.943,30.1,25.5,55.6,45.9%,52.9%,15.2%,12.3%,8.4%,43%
1380,Bishops Gaiters,23,100%,98.7,85.8,0.87,42.2,32.1,74.3,43.2%,48.7%,15.3%,11.4%,9.3%,40.6%
1381,Birmingham Southern College Panthers,27,100%,88.6,83.6,0.944,39.5,30.3,69.8,43.4%,51.1%,11.9%,10.8%,7.2%,42.2%
1382,Biola Eagles,28,100%,76.1,73.5,0.965,32.5,27,59.6,45.4%,52.5%,13%,11.4%,8.8%,43.3%
1383,Binghamton Bearcats,31,100%,76.5,70.2,0.918,31.6,25.1,56.7,44.2%,50.9%,15.2%,12.8%,9%,41.8%
1384,Bethune-Cookman Wildcats,32,100%,89.5,78.2,0.873,37.7,27.4,65.1,42.1%,47.6%,15.3%,14.2%,9.1%,41.2%
1385,Bethesda Christian (CA) Flames,18,100%,92.5,86.7,0.938,37.2,31.6,68.7,45.9%,53%,14.8%,12.6%,8.6%,43.4%
1386,Bethel University (MN) Royals,28,100%,76.9,66.5,0.864,34,24.7,58.6,42.1%,48.1%,16.1%,9.8%,7.5%,38.8%
1387,Bethel College (KS) Threshers,32,100%,87,83.7,0.962,33.4,30.3,63.8,47.5%,54.3%,15.4%,14%,9.2%,44.2%
1388,Bethel College (IN) Pilots,31,100%,82.5,74,0.898,36.6,25.8,62.4,41.3%,48.4%,13.3%,12.9%,9.1%,40.8%
1389,Bethel (TN) Wildcats,32,100%,90.1,75.8,0.842,32.1,25,57.1,43.8%,49.5%,21.4%,17.1%,9.9%,40.7%
1390,Bethany Lutheran College,30,100%,83.3,76.1,0.914,35.7,27.5,63.2,43.6%,50%,14.4%,11.9%,9%,41.7%
1391,Bethany College (KS) Swedes,30,100%,91,79.9,0.878,35.9,28.3,64.2,44.1%,50.7%,18%,13.4%,8.3%,40.3%
1392,Bethany (WV),30,100%,83.4,72.7,0.871,35.6,26.7,62.3,42.8%,48.6%,15.1%,12.2%,9.2%,40.6%
1393,Berry College Vikings,28,100%,91,82.2,0.904,36.1,29.6,65.8,45.1%,52%,17.1%,12.8%,8.3%,41.5%
1394,Berkeley (NY) Knights,1,100%,96,84,0.875,40,23,63,36.5%,43.7%,15.6%,18.8%,8.3%,42.7%
1395,Berkeley (NJ) Knights,1,100%,92,82,0.891,37,32,69,46.4%,52.2%,14.1%,12%,10.9%,43.5%
1396,Berea College Mountaineers,24,100%,91.2,80.6,0.884,39.2,29,68.2,42.5%,49.6%,15.8%,11.3%,8.6%,39.8%
1397,Bentley Falcons,28,100%,80.9,74.1,0.916,35.3,27.8,63.1,44%,50.7%,13.9%,9.7%,6.7%,41.3%
1398,Benedictine University Mesa,25,100%,85,76.3,0.898,34.3,26.5,60.8,43.6%,50.2%,15.9%,15.2%,9.9%,41.7%
1399,Benedictine College Ravens,29,100%,80.5,73.1,0.908,34.2,25.9,60.1,43.1%,49.7%,14.8%,12.7%,8.5%,41.2%
1400,Benedictine (IL) Eagles,26,100%,83.5,73.8,0.885,37,27,64,42.2%,47.9%,13.3%,12.1%,8.8%,40.6%
1401,Benedict College Tigers,31,100%,77.6,67.5,0.869,33.8,24.3,58.1,41.8%,47.5%,15.1%,12.5%,10%,39.9%
1402,Bemidji State Beavers,29,100%,80.2,76,0.947,36,28,64,43.7%,50.6%,11.8%,10.7%,8.3%,42.3%
1403,Beloit Buccaneers,19,100%,79.5,73,0.918,30.3,25.3,55.6,45.5%,52.1%,17.5%,14.1%,8.6%,43.3%
1404,Belmont Bruins,32,100%,77.1,69.2,0.897,33.6,25.3,58.9,42.9%,48.9%,14.4%,11.8%,8.9%,40.7%
1405,Belmont Abbey Crusaders,30,100%,84.1,77.5,0.922,35.1,27.1,62.2,43.6%,50.4%,14.4%,13.7%,9.6%,42.6%
1406,Bellevue (NE) Bruins,29,100%,76.9,70.2,0.913,31.2,25.9,57.1,45.3%,51.3%,15.8%,11.9%,7.9%,42%
1407,Bellarmine Knights,32,100%,73.9,61.8,0.835,31.5,22,53.5,41.2%,48.9%,19.4%,10.1%,7.6%,36.8%
1408,Belhaven Blazers,25,100%,94.6,93.2,0.984,31,33.2,64.2,51.8%,57.9%,19.1%,15.9%,10.3%,45.6%
1409,Becker,7,100%,84.1,75,0.891,36.6,27.9,64.4,43.2%,49.8%,16.3%,9.5%,7.3%,39.7%
1410,Baylor Bears,34,100%,79.2,69.4,0.876,35,24.4,59.4,41.1%,47.5%,14.3%,12%,7.9%,40.1%
1411,Bates College Bobcats,22,100%,88.3,76,0.86,36.4,29.1,65.5,44.5%,49.5%,16.6%,10.7%,8%,40.7%
1412,Baruch Bearcats,27,100%,78.7,63.3,0.804,32.4,22.7,55,41.2%,47.5%,20.8%,11.1%,7.5%,36.6%
1413,Barton College Bulldog,30,100%,83,80.2,0.966,32.4,29.4,61.9,47.6%,53.7%,14.5%,13.3%,10%,44.9%
1414,Barry Buccaneers,32,100%,83.7,77.7,0.929,34.6,27,61.5,43.8%,50.4%,14.8%,14.2%,10%,42.6%
1415,Bard College,25,100%,86.6,77.6,0.896,36.4,29,65.3,44.3%,49.1%,14.4%,11.9%,6.8%,42.1%
1416,Barclay College Bears,10,100%,106.7,101,0.947,38.4,37.2,75.6,49.2%,54.8%,17%,14.6%,10.2%,44.5%
1417,Barber-Scotia Sabers,3,100%,108.3,111,1.025,37.3,40,77.3,51.7%,59.9%,17.2%,13.5%,9.2%,46.8%
1418,Baptist Bible College (MO) Patriots,5,100%,97,111.6,1.151,33.4,45.4,78.8,57.6%,63.2%,10.3%,10.1%,8.9%,54%
1419,Ball State Cardinals,32,100%,81.8,73.3,0.896,35.8,26.2,62,42.2%,48.7%,14.2%,12.1%,8.9%,40.5%
1420,Baldwin Wallace,27,100%,79.7,71.8,0.901,35.7,27.3,63,43.4%,48.1%,12.2%,10.9%,7.6%,41.7%
1421,Baker University Wildcats,30,100%,77.7,72.3,0.93,32.9,24.9,57.8,43.1%,51.2%,14.9%,12.5%,7.4%,41.2%
1422,Bacone College Warriors,27,100%,86.3,81.8,0.948,33,28.1,61.1,46.1%,52.9%,16.5%,15.1%,10.5%,43.8%
1423,Babson Beavers,26,100%,82.8,71.5,0.864,36.3,27,63.3,42.7%,48.8%,15.9%,9.7%,6.7%,39.2%
1424,Azusa Pacific Cougars,32,100%,81.7,70,0.858,35.3,24.9,60.2,41.4%,47.3%,15.5%,12.7%,8.5%,39.5%
1425,Avila University Eagles,32,100%,82.2,73.8,0.898,33.3,25.7,59,43.5%,50%,16.2%,14%,9.4%,41.5%
1426,Averett University Cougars,26,100%,87.9,83.1,0.945,33.5,28.8,62.3,46.3%,53%,17%,14.7%,9.3%,43.6%
1427,Ave Maria Gyrenes,30,100%,84.2,82.7,0.982,34.6,31.6,66.2,47.7%,54.2%,12.5%,10.7%,7.9%,45.2%
1428,Austin Peay Governors,34,100%,79.5,71.6,0.9,29.3,24.8,54.1,45.8%,52.3%,19.5%,14.6%,9.9%,41.8%
1429,Austin College Roos,24,100%,95,89.4,0.941,33.7,31.2,64.8,48.1%,53.6%,18%,16.7%,11%,44.6%
1430,Aurora University,29,100%,84.5,77.7,0.92,33.8,29,62.8,46.1%,52.3%,16.7%,11.6%,7.9%,42.1%
1431,Augustana (SD) Vikings,30,100%,80.7,76.9,0.953,32.1,26.8,58.9,45.4%,53.3%,15.2%,13.6%,7.9%,43.1%
1432,Augustana (IL) Vikings,31,100%,81.9,71,0.867,34.5,24.2,58.6,41.2%,47.9%,16.2%,14.1%,9.5%,40.1%
1433,Augusta University Jaguars,29,100%,80.5,74.1,0.921,33.8,25.6,59.4,43.1%,50.1%,14.5%,14%,9.2%,41.6%
1434,Augsburg University Auggies,29,100%,78.8,68.7,0.871,31.7,25.3,57,44.4%,50.5%,18.2%,11%,7.6%,40.2%
1435,Auburn Tigers,34,100%,82.4,72,0.874,33.4,24.4,57.8,42.2%,49.2%,17.6%,14.3%,9.9%,40%
1436,Auburn Montgomery Warhawks,28,100%,86.5,82.8,0.957,33.1,29.8,62.9,47.4%,53.9%,16%,13.5%,9.8%,44.5%
1437,Assumption College Greyhounds,27,100%,76.3,73.4,0.963,30.2,27.6,57.8,47.7%,54.6%,15.1%,10.6%,7.5%,43.9%
1438,Ashland University Eagles,30,100%,76.5,66,0.863,34.7,24.7,59.4,41.5%,47.1%,14.1%,9.7%,7.1%,39.7%
1439,Asbury Eagles,11,100%,92.2,92.3,1.001,37.8,33.5,71.4,47%,53.2%,11.3%,13.2%,9.1%,46.4%
1440,Army Black Knights,30,100%,80.3,73.3,0.913,31.9,25,56.9,43.9%,51.2%,17.1%,14.6%,9.7%,41.6%
1441,Arlington Baptist Patriots,10,100%,92.9,99.8,1.074,33,41,74,55.4%,61.4%,14.1%,8.3%,7.1%,49.8%
1442,Arkansas-(Pine Bluff) Golden Lions,34,100%,82.9,71.1,0.858,32.5,23.8,56.2,42.3%,48.1%,18.7%,15.4%,11.2%,40.5%
1443,Arkansas-(Monticello) Boll Weevils,30,100%,80.4,71,0.883,30.7,25.7,56.4,45.5%,51.7%,20.2%,11.6%,8.4%,40.6%
1444,Arkansas-(Little Rock) Trojans,32,100%,77.7,69.5,0.895,31.3,23.4,54.8,42.8%,50.4%,16.9%,14.9%,10.5%,40.7%
1445,Arkansas-(Fort Smith) Lions,32,100%,84.8,72,0.848,36.4,25.2,61.6,40.9%,47.6%,16.7%,12.4%,8%,38.9%
1446,Arkansas Tech Wonder Boys,29,100%,88.8,81.2,0.915,35.8,29.6,65.4,45.3%,51.6%,16.2%,12.4%,9.4%,42.1%
1447,Arkansas State Red Wolves,32,100%,79.9,78.2,0.978,30,28.4,58.3,48.6%,55.1%,15.8%,13.6%,9.4%,45.1%
1448,Arkansas Razorbacks,35,100%,82.5,75.1,0.91,33.5,24.9,58.3,42.6%,50%,16.1%,15.3%,10.9%,41.4%
1449,Arizona Wildcats,35,100%,77.7,71.1,0.914,33,25.3,58.3,43.4%,49.8%,14.4%,12.5%,8.7%,41.7%
1450,Arizona State Sun Devils,32,100%,83.3,74.1,0.89,33.8,26.2,60,43.6%,50.4%,17%,13%,8.3%,40.6%
1451,Arizona Christian Firestorm,29,100%,87.9,79.3,0.902,37.9,28.2,66.1,42.6%,49.7%,14.7%,12.3%,8.2%,40.7%
1452,Arcadia University Knights,29,100%,82.3,70.8,0.86,33.7,24,57.7,41.5%,48.2%,17.8%,14%,8.9%,39.8%
1453,Aquinas College Saints,25,100%,73.6,66,0.897,30.5,23.4,53.9,43.4%,49.9%,15.4%,13.6%,10.2%,41.2%
1454,Apprentice Builders,9,100%,92.1,86.1,0.935,35.4,30.2,65.7,46%,52.2%,17.4%,14.4%,10.3%,42.7%
1455,Appalachian State Mountaineers,33,100%,82,74.1,0.903,33.8,25.8,59.6,43.3%,49.2%,15.2%,14.2%,10.2%,42.3%
1456,Antelope Valley,29,100%,82.3,73.6,0.894,31.8,26.1,57.9,45.1%,50.9%,17%,15.4%,10.9%,41.7%
1457,Anna Maria AMCATS,18,100%,78.4,73.2,0.934,33.2,27.3,60.5,45.2%,51.3%,14.1%,10.6%,7.7%,42.7%
1458,Angelo State Rams,29,100%,87.8,75.8,0.863,36.1,27.2,63.3,42.9%,49.4%,17.6%,12.6%,8.6%,39.6%
1459,Andrews University Cardinals,3,100%,85.7,70.7,0.825,38,27.7,65.7,42.1%,47%,17.1%,8.2%,7%,37.7%
1460,Anderson University Trojans,28,100%,84.9,78.9,0.929,34.2,27.8,62,44.8%,51.6%,14.9%,15.2%,10.1%,42.7%
1461,Anderson (IN) Ravens,27,100%,82.9,78.2,0.943,30.4,28.8,59.2,48.7%,53.6%,17.1%,14.4%,10.2%,44.8%
1462,Amherst College Mammoths,25,100%,81.2,63.9,0.787,38.2,22.7,60.8,37.3%,43.6%,15.5%,11.4%,7.5%,35.6%
1463,American University Eagles,30,100%,76.1,73.3,0.963,27.7,25.7,53.4,48.1%,54.3%,17.2%,15.3%,10.3%,45%
1464,American International Yellow Jackets,28,100%,80.7,71.9,0.891,35.3,26,61.3,42.4%,49.1%,15.2%,11.1%,8%,40.3%
1465,Ambrose Lions,12,100%,100.7,76.6,0.761,42.8,28.5,71.3,40%,44.9%,21.2%,10.3%,8%,35.3%
1466,Alvernia,25,100%,79.6,70.5,0.886,34.9,26.3,61.2,43%,48.9%,14%,11.4%,8.5%,40.7%
1467,Alma Scots,26,100%,86.2,79.7,0.925,37.4,29.1,66.5,43.8%,50.2%,13.3%,11.7%,8.8%,42.1%
1468,Allen (SC) Yellow Jackets,20,100%,93.5,84.1,0.9,37.6,30.6,68.2,44.9%,51.4%,16.1%,13.1%,9.1%,41.8%
1469,Allegheny Gators,25,100%,83.5,75.4,0.903,37.8,26.4,64.2,41.1%,49.2%,13.7%,11.5%,7.2%,39.5%
1470,Alice Lloyd College Eagles,7,100%,95.7,97.7,1.021,33.3,32.9,66.1,49.7%,58.6%,17.8%,14.8%,8.8%,46%
1471,Algoma Thunderbirds,28,100%,93.7,80,0.854,42.5,30.2,72.6,41.5%,47%,14.4%,9.9%,7.8%,39.4%
1472,Alfred State Pioneers,15,100%,87.4,67.6,0.773,37.9,23.7,61.6,38.5%,44%,18.8%,13.2%,8.8%,36%
1473,Alfred Saxons,26,100%,84.5,75.8,0.898,33.2,26.5,59.6,44.4%,50.4%,16.9%,14.8%,8.8%,42.2%
1474,Alderson-Broaddus,28,100%,79.5,72.5,0.912,34.4,26.3,60.6,43.3%,49.9%,13.6%,12.4%,8.7%,41.5%
1475,Alcorn State Braves,31,100%,82,74,0.903,33.8,25.2,58.9,42.7%,49.8%,15.7%,14.8%,11.1%,41.3%
1476,Albright Lions,26,100%,91,73,0.802,39.9,25.7,65.7,39.2%,44.5%,17%,12.4%,8.5%,37.3%
1477,Albion Britons,25,100%,79.6,77.3,0.971,31,27.2,58.3,46.7%,54.3%,15.6%,13.3%,8.2%,43.9%
1478,Albertus Magnus Falcons,27,100%,89,73.4,0.825,38.5,27.2,65.7,41.4%,46.8%,17%,10.6%,7.6%,38.3%
1479,Alberta Golden Bears,30,100%,87.9,68.9,0.784,40,24.2,64.2,37.7%,44.5%,18.3%,10.2%,8.4%,35.3%
1480,Albany State Golden Rams,28,100%,81.6,70.8,0.867,32.8,24.8,57.5,43%,48.9%,17.1%,14.6%,10.5%,40.4%
1481,Albany Great Danes,32,100%,75.1,67.8,0.903,31.5,25.2,56.6,44.4%,50.3%,15.2%,11.2%,7.4%,41.5%
1482,Alaska-(Fairbanks) Nanooks,26,100%,77.8,73.6,0.946,31.8,27.1,58.9,46%,53.9%,16.3%,9.9%,7.7%,42.2%
1483,Alaska-(Anchorage) Sea Wolves,29,100%,72.7,60.9,0.837,31.8,22.4,54.2,41.3%,47.8%,16.6%,10.5%,7.3%,38%
1484,Alabama State Hornets,29,100%,84,79.1,0.942,32,26.2,58.1,45%,51.8%,15.7%,17.5%,12.9%,44.5%
1485,Alabama Huntsville Chargers,28,100%,86.2,79.9,0.927,36.9,28.6,65.5,43.7%,51.1%,14.5%,11.4%,7.8%,41.7%
1486,Alabama Crimson Tide,36,100%,81,70.2,0.867,34.3,24.3,58.6,41.5%,47.7%,15.5%,13.9%,9.6%,40.4%
1487,Alabama A&M Bulldogs,27,100%,79.9,77,0.964,32,28.8,60.8,47.4%,53.7%,14.5%,12.4%,10.2%,44.3%
1488,Akron Zips,32,100%,78.5,74,0.943,30.7,25.6,56.3,45.5%,52.5%,16%,14.6%,9.3%,43.4%
1489,Akron Wayne Warriors,5,100%,91.6,98,1.07,33.2,37.4,70.6,53%,59.3%,12.7%,13.3%,11.6%,48.7%
1490,Air Force Falcons,31,100%,76.5,72.2,0.943,29.7,25.2,54.8,45.9%,54.4%,17.7%,12.8%,8.6%,42%
1491,Adrian,27,100%,78.4,68.4,0.873,32.8,24.7,57.5,43%,49.2%,16.7%,11.8%,7.9%,40.1%
1492,Adelphi University Panthers,29,100%,88.2,84,0.953,34.9,31.2,66.1,47.2%,52.8%,15.3%,11.9%,8.1%,44%
1493,Adams State Grizzlies,32,100%,88.1,81.8,0.928,33.9,27.3,61.2,44.5%,51%,16.1%,16.7%,10.6%,43.5%
1494,Acadia Axeman,32,100%,92.4,75.4,0.817,42,27.3,69.3,39.4%,44.5%,15.5%,11.5%,8.6%,38.3%
1495,Academy of Art Urban Knights,26,100%,78.7,69.9,0.889,30.6,23.8,54.4,43.7%,50.5%,18.2%,14.5%,9.3%,41.1%
1496,Abilene Christian Wildcats,32,100%,81.4,70.7,0.868,31.1,23.9,55.1,43.5%,49.5%,19.2%,15.6%,10.6%,40.8%
