#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
336,Manchester Spartans,25,5.5%,4.4,4,0.892,1.7,1.4,3.1,44.2%,45.5%,14.4%,18.9%,13.5%,45.9%
337,William Paterson Pioneers,29,5.3%,4.5,4,0.893,1.6,1.5,3.1,48.4%,51.1%,21.4%,12.2%,10.7%,42.7%
338,Kenyon Lords,25,4.8%,3.8,3.4,0.894,1.6,1.2,2.8,43.7%,47.9%,11.7%,14.9%,12.8%,43.6%
339,Bard College,25,3.6%,3.1,2.8,0.896,1.2,1.1,2.2,48.2%,48.2%,16.9%,13%,7.8%,44.2%
340,Mary Hardin-Baylor Crusaders,25,5.7%,5.2,4.7,0.9,2.2,1.6,3.8,42.1%,45.3%,10.8%,20%,17.7%,43.8%
341,Blackburn Beavers,28,5.6%,5.1,4.6,0.902,2.2,1.8,3.9,44.5%,47.7%,13.3%,11.2%,7%,43.4%
342,Ursinus Bears,27,4.2%,3.4,3.1,0.903,1.4,0.9,2.4,39.1%,41.4%,9.7%,23.7%,19.4%,47.3%
343,Shenandoah University Hornets,28,2.9%,2.6,2.4,0.904,1.2,0.9,2.1,43.1%,44%,11%,16.4%,13.7%,43.8%
344,Wilmington (OH) Quakers,25,8.5%,7.6,6.9,0.905,2.4,2.6,5,51.6%,54.4%,20.5%,16.8%,11.1%,45.8%
345,Oneonta State Red Dragons,29,7.1%,5.8,5.3,0.905,2.5,1.7,4.2,40.7%,46.7%,13.6%,16%,10.7%,42.6%
346,Albion Britons,25,4.8%,3.8,3.4,0.905,1.1,1.3,2.4,53.3%,58.3%,24.2%,15.8%,11.6%,43.2%
347,Pfeiffer University Falcons,24,1.3%,1.3,1.2,0.906,0.5,0.5,1,50%,52.1%,18.8%,12.5%,9.4%,43.8%
348,Huntingdon Hawks,24,4.6%,4.1,3.8,0.909,1.4,1.3,2.8,48.5%,52.3%,19.2%,16.2%,13.1%,45.5%
349,Mount St. Joseph Lions,26,5.3%,3.9,3.5,0.911,1.9,1.4,3.3,43%,45.9%,6.9%,10.9%,9.9%,42.6%
350,Moravian,26,6.4%,5.6,5.1,0.911,2.2,1.9,4.1,46.7%,48.6%,11%,19.2%,16.4%,47.3%
351,Edgewood College (WI) Eagles,28,7.5%,6,5.5,0.911,2.6,2.1,4.7,44.3%,46.9%,10.7%,14.3%,14.3%,44.6%
352,Clarks Summit University Defenders,26,3.6%,3,2.8,0.911,1.2,1.1,2.3,46.7%,48.3%,13.9%,20.3%,19%,41.8%
353,Westfield State Owls,8,4.9%,4.3,3.9,0.912,1.5,1.8,3.3,53.8%,53.8%,17.6%,11.8%,8.8%,47.1%
354,Puget Sound Loggers,26,3.9%,4,3.6,0.913,1.6,1.3,3,45.5%,49.4%,17.5%,12.6%,9.7%,41.7%
355,Alfred Saxons,26,6.9%,5.8,5.3,0.914,2.3,1.9,4.2,45.4%,48.1%,13.8%,17.8%,10.5%,45.4%
356,SUNY Canton Kangaroos,22,2.6%,2.3,2.1,0.92,0.7,0.8,1.5,54.5%,59.1%,22%,14%,8%,44%
357,Hobart College Statesmen,26,5.1%,4.3,4,0.92,1.7,1.4,3.1,44.4%,49.4%,13.4%,16.1%,8%,44.6%
358,Ohio Northern Polar Bears,29,5.6%,4.8,4.4,0.921,2.2,1.5,3.7,40.7%,45.4%,10.8%,12.9%,8.6%,43.2%
