#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
229,Blackburn Beavers,28,7.1%,6.6,4.9,0.75,2.9,1.7,4.6,37.5%,41%,17.9%,14.7%,11.4%,35.9%
230,New Rochelle Blue Angels,7,11%,10.3,7.7,0.75,4.9,3,7.9,38.2%,40.9%,12.5%,12.5%,11.1%,37.5%
231,Puget Sound Loggers,26,8.3%,8.9,6.7,0.75,4.3,2.5,6.7,36.6%,40.3%,14.2%,11.2%,9.5%,35.8%
232,Southern Maine,13,8.1%,6.8,5.1,0.75,3.6,1.8,5.4,32.9%,35.7%,10.2%,11.4%,10.2%,35.2%
233,St. Joseph's (Brooklyn) Bears,8,7.3%,6.5,4.9,0.75,2.9,1.6,4.5,36.1%,41.7%,21.2%,13.5%,9.6%,34.6%
234,SUNY Maritime Privateers,8,7.9%,7,5.3,0.75,2.6,2.1,4.8,44.7%,47.4%,21.4%,10.7%,5.4%,37.5%
235,Emory & Henry Wasps,29,13.9%,11.7,8.7,0.749,4.9,3.5,8.4,42%,44.2%,21%,9.2%,8%,36.7%
236,Swarthmore Garnet,31,8%,6.5,4.9,0.748,2.9,2,4.9,41.1%,44.7%,19.3%,6.4%,5.4%,35.1%
237,Whittier College Poets,23,6.9%,6.3,4.7,0.747,2.5,1.5,4,37.6%,44.6%,22.6%,14.4%,9.6%,34.9%
238,Alvernia,25,12.8%,9.9,7.4,0.746,4.9,2.6,7.5,34.6%,36.7%,10.5%,16.5%,11.7%,36.7%
239,Principia Panthers,14,12.4%,9.9,7.4,0.746,3.6,2.7,6.4,42.7%,46.1%,26.1%,11.6%,6.5%,36.2%
240,Staten Island Dolphins,28,7.9%,7,5.3,0.746,3,2.1,5.1,41%,43.1%,19.8%,9.1%,8.1%,36%
241,Christopher Newport Captains,29,10.1%,8.2,6.1,0.745,3.7,2.4,6.1,39%,44.1%,20.1%,6.7%,5.9%,34.3%
242,Hendrix College,30,12.3%,10.8,8.1,0.745,4.5,2.8,7.3,38.5%,43.3%,21.2%,13.2%,9.5%,35.1%
243,Brevard College Tornados,25,8.2%,6.7,5,0.744,3.2,1.7,4.9,35.2%,41.8%,18.5%,11.3%,7.1%,31.5%
244,Coast Guard Academy Bears,23,3.9%,3.4,2.5,0.744,1.3,1.1,2.5,45.6%,46.5%,23.1%,7.7%,5.1%,34.6%
245,Louisiana College Wildcats,26,6.9%,5.8,4.3,0.742,2.4,1.5,3.9,37.6%,41.6%,21.9%,12.6%,8.6%,34.4%
246,Schreiner Mountaineers,30,7%,6.1,4.5,0.742,2.6,1.4,4,34.5%,39.1%,22%,14.8%,11%,34.6%
247,Tufts Jumbos,24,9%,8.1,6,0.742,3.8,2.4,6.3,38.7%,42.3%,17.5%,9.3%,8.8%,34.5%
248,Webster University,19,5.4%,4.5,3.3,0.741,1.9,1.3,3.2,39.3%,42.6%,21.2%,9.4%,8.2%,34.1%
249,Maine Farmington,7,15.3%,13.1,9.7,0.739,6,3,9,33.3%,37.3%,18.5%,14.1%,10.9%,35.9%
250,Piedmont Lions,28,4.6%,4,2.9,0.739,1.5,1.3,2.8,46.8%,48.1%,22.5%,8.1%,6.3%,36.9%
251,Hamilton College,29,3.9%,3.6,2.6,0.738,1.6,0.7,2.3,31.3%,36.6%,21.4%,16.5%,13.6%,34%
252,Plattsburgh State Cardinals,29,6.8%,6.4,4.8,0.738,3.4,1.7,5.1,32.9%,37.9%,12.8%,8.6%,7.5%,33.2%
253,Rochester Institute of Technology Tigers,27,9.8%,8.3,6.1,0.738,3.9,2.3,6.1,36.7%,41%,20%,8%,6.7%,33.3%
254,Case Western Reserve Spartans,25,15.9%,13.7,10.1,0.737,6.6,3.6,10.3,35.4%,39.9%,16.7%,9.6%,7.9%,34.2%
255,Husson,24,10.8%,9.8,7.2,0.736,4.5,2.8,7.3,38.1%,40.6%,17%,10.6%,7.2%,35.3%
256,Bowdoin Polar Bears,24,6.8%,5.5,4,0.735,2.3,1.6,3.8,41.3%,42.9%,22%,8.3%,7.6%,37.1%
257,Sage Colleges,20,12.3%,11.1,8.2,0.734,5.8,3.3,9.1,36.3%,40.9%,14.9%,5%,3.6%,32.4%
258,Wells,12,9.1%,7.8,5.8,0.734,3.3,2.2,5.5,39.4%,43.2%,20.2%,9.6%,4.3%,35.1%
259,Oberlin College Yeomen,26,13.5%,10.2,7.5,0.729,4.7,2.7,7.3,36.6%,44.2%,22.9%,6%,4.5%,31.6%
260,Birmingham Southern College Panthers,27,4.3%,3.8,2.8,0.728,1.7,1,2.8,37.3%,41.3%,17.5%,12.6%,9.7%,35.9%
261,Denison (OH) Big Red,27,6.1%,4.9,3.6,0.727,2.3,1.4,3.7,37%,42%,16.7%,10.6%,6.8%,32.6%
262,Methodist Monarchs,28,10.6%,9.4,6.8,0.726,4.6,2.6,7.2,35.6%,39.4%,15.2%,9.1%,8%,35%
