#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
263,Alvernia,25,5.9%,4.7,3.8,0.797,2.3,1.3,3.6,36%,39.3%,12.7%,13.6%,9.3%,38.1%
264,MacMurray College Highlanders,21,10.7%,9.4,7.5,0.798,4.3,3,7.2,40.8%,44.7%,16.7%,8.6%,8.1%,36.9%
265,Keuka,11,10.1%,8.1,6.5,0.798,4.4,2.5,6.9,36.8%,42.1%,9%,7.9%,6.7%,36%
266,Berry College Vikings,28,8.8%,8,6.4,0.798,3.4,2.4,5.8,40.7%,45.1%,19.3%,11.2%,9.9%,36.8%
267,LaGrange Panthers,25,12.1%,11.2,8.9,0.799,5.7,3.4,9.2,37.6%,40.8%,9.3%,12.2%,11.1%,37.6%
268,Wheelock,7,9.6%,8.6,6.9,0.8,4,2.4,6.4,37.8%,43.3%,16.7%,11.7%,10%,36.7%
269,Mount Aloysius Mounties,24,3.4%,2.7,2.2,0.8,1.2,0.8,2,41.7%,46.9%,20%,9.2%,7.7%,36.9%
270,Babson Beavers,26,7.5%,6.2,5,0.801,2.5,2,4.5,44%,48.3%,19.9%,10.6%,9.3%,36.6%
271,Whitworth Pirates,29,9.6%,8.3,6.7,0.802,3.1,2.5,5.7,44.5%,48.8%,23.1%,10.7%,7.9%,38.4%
272,Muhlenberg Mules,25,12.3%,10.3,8.2,0.802,4,3,7,43.1%,47.1%,19.8%,15.2%,12.1%,38.9%
273,Aurora University,29,11.6%,9.8,7.8,0.802,4.4,2.8,7.2,38.3%,43.1%,14.5%,13.4%,9.2%,38.2%
274,Heidelberg,25,10.5%,9.1,7.3,0.803,3.8,2.5,6.3,39.9%,43.7%,17.5%,13.6%,9.6%,39.9%
275,Methodist Monarchs,28,10%,8.9,7.2,0.804,4.5,2.6,7.1,36.9%,40.2%,10%,12.4%,10.8%,39.2%
276,Anna Maria AMCATS,18,11.6%,9.1,7.3,0.804,4.4,3.2,7.6,41.6%,43.8%,11%,6.1%,4.9%,39.3%
277,Wisconsin-(Stevens Point) Pointers,30,12.9%,9.1,7.3,0.805,3.5,2.6,6.1,43.2%,45.1%,19.9%,15.8%,10.7%,40.8%
278,SUNY Canton Kangaroos,22,6.1%,5.4,4.3,0.805,2.5,1.5,4,37.5%,42%,16.1%,13.6%,13.6%,35.6%
279,Saint Joseph's (ME) Monks,24,11.2%,9.2,7.4,0.805,4.2,2.6,6.8,38.4%,44.5%,15.8%,11.3%,9.5%,37.6%
280,Clarks Summit University Defenders,26,7.2%,6.1,4.9,0.805,2.6,1.8,4.4,40.4%,43%,17.6%,16.4%,11.3%,37.7%
281,Trinity (TX) Tigers,28,7.8%,6.7,5.4,0.807,3,1.9,4.9,39.4%,44.2%,17.1%,12.3%,7.5%,38%
282,Bethany Lutheran College,30,9.5%,7.9,6.4,0.807,3.1,2.3,5.4,42.9%,46.3%,21.4%,13%,10.9%,39.5%
283,Wittenberg,30,17.2%,13.5,10.9,0.809,5.5,4.2,9.7,43.2%,47.6%,20.3%,10.1%,8.2%,37.9%
284,Central (IA),28,14.1%,12.2,9.9,0.809,5.5,3.4,8.9,38.4%,43.6%,16.1%,12%,9.7%,37.5%
285,Carthage Red Men,25,12.5%,10,8.1,0.809,4.8,3.3,8.1,40.6%,43.3%,12.7%,8.4%,4%,37.8%
286,Carleton College Knights,26,14.4%,10.8,8.8,0.809,4.3,3.3,7.7,43.2%,48.5%,22.7%,8.5%,7.1%,36.9%
