team_id,team_name,player_id,player_name,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK
8,Wabash,185,Connor_Rotterman,12,1.96,1.46,2.5,4,2.04,11.46,0.33,1.29,2.58,2.63,0.58,2.04,0.04
8,Wabash,186,Dalton_Vachon,1.06,0,0.06,0.5,0.44,0.19,1.13,0,1.13,0.56,1.88,0.75,1.13,0.25
8,Wabash,187,Duncan_Roy,1.56,0.33,0.06,0.22,0.44,0.33,1.11,0.28,0.33,0.39,0.61,0.22,0.39,0
8,Wabash,188,Harrison_Hallstrom,11.08,0,1.04,1.35,4.62,1.85,7.92,0.23,3,2.46,8.58,2.81,5.77,0.73
8,Wabash,189,Jack_Davidson,18.19,2.23,3.19,2.73,4.58,6.81,11.08,0.62,1.65,8.35,4.73,0.42,4.31,0.04
8,Wabash,190,Logan_White,3.79,0,0.58,0.83,1.67,0.46,3.63,0.33,1.79,1.08,5.5,1.96,3.54,0.42
8,Wabash,191,Matt_Chinn,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
8,Wabash,192,Max_Flinchum,3,1,0,0,1,0,1,0,0,0,0,0,0,0
8,Wabash,193,Max_Kurkowski,0.86,0,0.14,0.29,0.29,0.29,0.71,0,0.71,0.57,0.71,0.57,0.14,0.29
8,Wabash,194,Parker_Manges,5.58,1.05,0.84,1.11,2.16,0.21,5.74,0.53,1.95,0.37,3.21,0.63,2.58,0.21
8,Wabash,195,Rhett_Helt,2,0.38,0.31,0.31,0.69,0.23,1.54,0.08,0.54,0.54,2.15,0.46,1.69,0.15
8,Wabash,196,Ronald_Ryan,0.5,0,0.5,0.33,0,0.5,0.5,0,0.17,0.67,0.33,0,0.33,0
8,Wabash,197,Zach_Anderson,0,0,0.25,0,0,0,1.25,0.5,0,0,0,0,0,0
5,WheatonIL,198,Aston_Francis,27.38,4.65,4.42,3.69,8.62,5.5,20.73,1.42,1.65,6.69,4.77,0.69,4.08,0.23
5,WheatonIL,199,Cade_Alioth,1.5,0,0.41,0.09,0.64,0.23,0.86,0.23,1.36,0.5,1.77,0.64,1.14,0.09
5,WheatonIL,200,Gavin_Hawkins,1.67,0.33,0,0,0.67,0,1.67,0,0,0,0.33,0.33,0,0
5,WheatonIL,201,Jack_Bennett,1.33,0,0.67,0.33,0.67,0,1,0,0.33,0,1,0.67,0.33,0
