Type,Format,team_name,element_name,percentage_of_time,ppp,average_ppp,field_goal_percentage
Weakness,Defensive,IllinoisTech,Off Screen,0.085,0.969,0.838,0.429
Weakness,Defensive,IllinoisTech,Post-Up,0.118,0.852,0.838,0.512
Weakness,Defensive,GustavusAdolphus,Cut,0.08,1.136,0.906,0.64
Weakness,Defensive,GustavusAdolphus,Spot Up,0.285,1.021,0.906,0.403
Weakness,Defensive,GustavusAdolphus,Transition,0.113,1.043,0.906,0.542
Weakness,Defensive,GustavusAdolphus,Offensive Rebounds (put backs),0.05,1.207,0.906,0.657
Weakness,Defensive,Fontbonne,Off Screen,0.044,1.224,0.963,0.5
Weakness,Defensive,Fontbonne,P&R Roll Man,0.027,1.357,0.963,0.629
Weakness,Defensive,Fontbonne,Offensive Rebounds (put backs),0.079,1.091,0.963,0.576
Weakness,Defensive,Fontbonne,Cut,0.085,1.069,0.963,0.579
Weakness,Defensive,Fontbonne,Spot Up,0.233,0.983,0.963,0.374
Weakness,Defensive,Fontbonne,Transition,0.242,1.054,0.963,0.504
Weakness,Defensive,EastWest,Cut,0.108,1.093,1.023,0.56
Weakness,Defensive,EastWest,Offensive Rebounds (put backs),0.087,1.173,1.023,0.62
Weakness,Defensive,EastWest,Hand Off,0.017,1.037,1.023,0.45
Weakness,Defensive,EastWest,Spot Up,0.233,1.143,1.023,0.437
Weakness,Defensive,EastWest,P&R Roll Man,0.007,1.182,1.023,0.5
Weakness,Defensive,EastWest,Transition,0.281,1.085,1.023,0.541
Weakness,Defensive,DominicanIL,Offensive Rebounds (put backs),0.065,1.187,0.906,0.62
Weakness,Defensive,DominicanIL,Cut,0.111,1.229,0.906,0.656
Weakness,Defensive,DominicanIL,Transition,0.175,0.956,0.906,0.496
Weakness,Defensive,DominicanIL,P&R Roll Man,0.029,1.082,0.906,0.468
Weakness,Defensive,DominicanIL,Off Screen,0.055,1,0.906,0.451
Weakness,Defensive,CornellCollege,Spot Up,0.223,0.925,0.89,0.367
Weakness,Defensive,CornellCollege,Hand Off,0.039,0.978,0.89,0.421
Weakness,Defensive,CornellCollege,Offensive Rebounds (put backs),0.047,1.278,0.89,0.659
Weakness,Defensive,CornellCollege,Cut,0.065,1.189,0.89,0.603
Weakness,Defensive,CornellCollege,Post-Up,0.099,0.938,0.89,0.524
Weakness,Defensive,Chicago,Spot Up,0.236,0.905,0.881,0.363
Weakness,Defensive,Chicago,Offensive Rebounds (put backs),0.063,1.142,0.881,0.622
Weakness,Defensive,Chicago,Cut,0.061,1.097,0.881,0.578
Weakness,Defensive,Chicago,P&R Roll Man,0.038,1.13,0.881,0.514
Weakness,Defensive,Chicago,Transition,0.141,0.996,0.881,0.465
Weakness,Defensive,Carthage,Transition,0.178,1.034,0.891,0.498
Weakness,Defensive,Carthage,Cut,0.087,1.115,0.891,0.584
Weakness,Defensive,Carthage,Offensive Rebounds (put backs),0.054,1.009,0.891,0.5
Weakness,Defensive,Carthage,P&R Roll Man,0.03,0.902,0.891,0.423
Weakness,Defensive,Carthage,Off Screen,0.063,1.063,0.891,0.41
Weakness,Defensive,Carthage,Spot Up,0.209,0.898,0.891,0.366
Weakness,Defensive,Albion,Off Screen,0.078,1.071,0.971,0.492
Weakness,Defensive,Albion,Spot Up,0.284,0.986,0.971,0.402
Weakness,Defensive,Albion,Hand Off,0.037,1.11,0.971,0.46
Weakness,Defensive,Albion,Offensive Rebounds (put backs),0.045,1.247,0.971,0.619
Weakness,Defensive,Albion,Cut,0.071,1.121,0.971,0.574
Weakness,Defensive,Albion,Post-Up,0.082,1.055,0.971,0.548
