team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Type,Format,element_name,percentage_of_time,type_ppp,average_ppp,field_goal_percentage,Adjusted_Overall_Average_PPP,Adjusted_Type_PPP
Wabash,26,80.11538462,79.26923077,0.972464115,0.95317364,Strength,Offensive,Offensive Rebounds (put backs),0.06,1,0.885,0.529,0.860630742,0.972464115
Wabash,26,80.11538462,79.26923077,0.972464115,0.95317364,Weakness,Offensive,Off Screen,0.048,0.87,0.885,0.33,0.860630742,0.84604378
Wabash,26,80.11538462,79.26923077,0.972464115,0.95317364,Weakness,Offensive,Miscellaneous,0.075,0.58,0.885,0.308,0.860630742,0.564029187
Wabash,26,80.11538462,79.26923077,0.972464115,0.95317364,Weakness,Offensive,P&R Ball Handler,0.184,0.76,0.885,0.304,0.860630742,0.739072727
Wabash,26,80.11538462,79.26923077,0.972464115,0.95317364,Weakness,Offensive,Isolation,0.052,0.759,0.885,0.333,0.860630742,0.738100263
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Strength,Offensive,Cut,0.098,1.32,0.989,0.681,0.973310061,1.299058929
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Strength,Offensive,Offensive Rebounds (put backs),0.062,1.185,0.989,0.628,0.973310061,1.166200629
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Strength,Offensive,Hand Off,0.047,1.01,0.989,0.407,0.973310061,0.993976908
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Strength,Offensive,Transition,0.148,1.167,0.989,0.573,0.973310061,1.148486189
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Strength,Offensive,Off Screen,0.133,1.054,0.989,0.42,0.973310061,1.037278872
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Weakness,Offensive,P&R Roll Man,0.01,0.727,0.989,0.35,0.973310061,0.715466546
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Weakness,Offensive,Miscellaneous,0.099,0.651,0.989,0.458,0.973310061,0.640672244
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Weakness,Offensive,P&R Ball Handler,0.042,0.674,0.989,0.273,0.973310061,0.663307362
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Weakness,Offensive,Post-Up,0.043,0.889,0.989,0.507,0.973310061,0.874896506
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Weakness,Offensive,Isolation,0.087,0.875,0.989,0.418,0.973310061,0.861118608
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,Weakness,Offensive,Spot Up,0.231,0.918,0.989,0.385,0.973310061,0.903436437
Kalamazoo,25,80.08,82.6,0.972034606,0.993224507,Strength,Offensive,Hand Off,0.012,0.958,0.805,0.5,0.782487858,0.931209153
Kalamazoo,25,80.08,82.6,0.972034606,0.993224507,Strength,Offensive,Spot Up,0.29,0.821,0.805,0.348,0.782487858,0.798040412
